# id, p_deg, t_deg, camPosX, camPosY, camPosZ, camEulerX_deg, camEulerY_deg, camEulerZ_deg
109, -15.213180, 13.167100, 0.021258, 1.119833, -0.311380, 348.992000, 5.088939, 359.981000
110, 19.637970, 12.945070, 0.011538, 1.128282, -0.317355, 346.937900, 2.836544, 0.061944
111, 27.999950, -4.800000, 0.003893, 1.086598, -0.318127, 356.633300, 0.961040, 0.014505
112, 27.997170, -4.799999, -0.001639, 1.055203, -0.304259, 4.193733, 359.618100, -0.005243
113, -26.441610, -0.420722, 0.008072, 1.064459, -0.301008, 2.081667, 1.855737, 0.010486
114, 24.948470, -4.586971, 0.000179, 1.060314, -0.305673, 3.063529, 0.042109, 359.992300
115, -10.777400, 2.027050, 0.005253, 1.073992, -0.301708, 359.876300, 1.211318, 0.002281
116, -27.999210, -2.703072, 0.014706, 1.066845, -0.306380, 1.550767, 3.452873, 0.001595
117, 27.401080, 13.199860, 0.007299, 1.102782, -0.300069, 353.056000, 1.671925, 0.006481
118, -20.737090, 13.163070, 0.012557, 1.126970, -0.315913, 347.262700, 3.069935, 359.969800
119, -28.000000, 13.199690, 0.023696, 1.129196, -0.318488, 346.714400, 5.843270, 359.920100
120, 27.558770, -4.798745, 0.015805, 1.087039, -0.318615, 356.532700, 3.905449, 0.009250
121, -27.998740, 12.567900, 0.024151, 1.104763, -0.302675, 352.518600, 5.575154, 359.989000
122, -27.998480, -4.800000, 0.029057, 1.077558, -0.315609, 358.982800, 7.063767, 359.992200
123, -21.809130, -3.978247, 0.035394, 1.056348, -0.305863, 3.988233, 8.245323, 0.005956
124, -27.992170, -4.775209, 0.045782, 1.052306, -0.307125, 4.934192, 10.669980, 0.024224
125, -3.744648, -4.752335, 0.040927, 1.052053, -0.306302, 4.994732, 9.529744, 359.984500
126, -27.484170, 10.842370, 0.049221, 1.091264, -0.301764, 355.933800, 11.210710, -0.000997
127, 14.523820, 10.820120, 0.039899, 1.117022, -0.315685, 349.732800, 9.658716, 0.024622
128, -7.357712, 11.659950, 0.037842, 1.121984, -0.317619, 348.493900, 9.244704, 0.010027
129, 28.000000, -4.798839, 0.029440, 1.081676, -0.317900, 357.847600, 7.225441, 0.010521
130, -27.922800, 1.719357, 0.039597, 1.074217, -0.305345, 359.771800, 9.189657, -0.000809
131, -27.812730, 13.199750, 0.045424, 1.111562, -0.308962, 350.972800, 10.667870, 359.990200
132, -12.933800, 3.111304, 0.045558, 1.098033, -0.317288, 354.219100, 11.071830, -0.004970
133, 25.540650, 13.199960, 0.037790, 1.116941, -0.311254, 349.687700, 8.990068, 0.023498
